service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7,1,1,1,1,0,0,0,20241018,20250131
6,0,0,0,0,1,0,0,20241018,20250131
5,0,0,0,0,0,1,0,20241018,20250131
4,0,0,0,0,0,1,1,20241018,20250131
3,0,0,0,0,0,0,1,20241018,20250131
2,0,0,0,0,0,1,0,20241018,20250131
1,1,1,1,1,1,0,0,20241018,20250131
8,0,0,1,0,0,0,0,20241018,20250131
9,1,1,1,1,1,0,0,20241018,20250131
10,1,1,1,1,1,0,0,20241018,20250131
